absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText,eyeTrackingStatus,DesignMatrixCondition
61226.9686718,77.32357,0.0170766,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.9875573,77.34248,0.0189083,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.0119323,77.36723,0.0247546,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.0341485,77.38834,0.0211097,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.0557434,77.40868,0.0203314,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.0838825,77.43906,0.0303819,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.1029199,77.45691,0.0178529,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.1300635,77.48211,0.0251975,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.1548527,77.51052,0.0284173,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.172292,77.52795,0.0174195,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.1894708,77.54507,0.0171222,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.2068559,77.56167,0.0166063,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.2331502,77.58608,0.0244133,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.2588333,77.61351,0.0274237,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.2764055,77.63226,0.0187529,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.2956594,77.65004,0.0177806,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.3209335,77.67621,0.0261687,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.3427759,77.69746,0.0212552,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61227.3610166,77.71662,0.0191576,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
